ts	phase	decision	why	evidence	result
2026-09-14T17:50:02Z	intake	TAKE frozen range 36668dbe4fe2f8c881cc4f93bc675413eef1406f..47ace94962a714a561d7cfbdbaa4c721ef6b0598	The target is 107 commits ahead with no reverse commits, and the previous run and lesson are complete	KAT-3371 Linear intake comment 677aca8e-5fa6-4fd0-8fb5-71a1577c00c6	new run
2026-09-14T17:56:35Z	git	SKIP synthetic previous-pin ancestry anchor	The previous pin is already an ancestor of the Kata base, and the only base between Kata and target is that pin	git merge-base and merge-base --is-ancestor on frozen refs	ordinary three-way merge
2026-09-14T17:56:35Z	instructions	SKIP upstream AGENTS.md and .macroscope check-agent files	Kata deliberately deleted these instruction and automation files, and upstream instructions are review material	git merge-tree modify/delete conflicts	retain deletions
2026-09-14T17:56:35Z	features	TAKE current upstream product changes	The range adds accepted CLI, desktop, web, mobile, server, source-control, composer, preview, and release behavior	git log 36668dbe4..47ace9496 and docs/upstream/kat-3371-intake.md	adapt to Kata
2026-09-14T17:56:35Z	identity	SKIP upstream user-visible and operator T3 identity	FORK.md and docs/product-branding.md require Kata names, packages, commands, environment variables, protocols, assets, and release destinations	FORK.md and docs/product-branding.md	adapt taken work
2026-09-14T17:56:35Z	retained	SKIP removal of Kata sandbox, process, credential, and mixed-fleet behavior	The retained inventory and the KAT-3329 lesson require these outcomes on current owners	docs/upstream/retained-behavior.v1.json and rebase skill history	preserve during conflicts and clean-merge review
2026-09-14T17:56:35Z	migrations	TAKE upstream migration 051 as Kata migration 054	Kata migrations 041, 042, and 053 and prior upstream mappings 043 through 052 already occupy lower IDs	apps/server/src/persistence/Migrations.ts	preserve shipped IDs
2026-09-14T17:56:35Z	assets	SKIP replacement of Kata channel artwork	Kata assets remain release-channel identity, and KAT-3301 separately owns the existing Android monochrome defect	docs/product-branding.md and KAT-3301	retain current artwork
2026-09-14T19:14:00Z	release	TAKE upstream self-contained CLI and six-platform desktop graph	The release improvements are accepted only with Kata archive, npm scope, executable, repository, hosted target, active runner, and Sandbox image contracts	.github/workflows/release.yml; .github/workflows/release-desktop.yml; scripts/build-cli-archive.ts; scripts/build-npm-platform-packages.ts	adapted to Kata and retained dry-run verification
2026-09-14T19:14:00Z	connections	TAKE upstream Connections layout while SKIPping removal of Kata environment flows	Kata still requires AddEnvironmentDialog, Docker preview gating, host Sandbox visibility, deployment settings, pairing, and SSH callbacks	apps/web/src/components/settings/ConnectionsSettings.tsx and KAT-3297 decision 42	merged upstream layout around retained Kata controls
2026-09-14T19:14:00Z	development	TAKE reusable development authentication without dotenv storage	Kata source builds read secrets from 1Password or process environment and must not create or read dotenv files	scripts/dev-runner.ts; scripts/setup-worktree.ts; docs/operations/environment-variables.md	preserved token behavior and documented the Kata secret path
2026-09-14T19:47:16Z	preservation	TAKE upstream coverage beside frozen Kata assertions	The base checker owns exact regression files while upstream adds coverage to the same modules	apps/desktop/src/**/*.upstream.test.ts; apps/mobile/src/lib/mobileTheme.upstream.test.ts; scripts/build-desktop-artifact.upstream.test.ts	retained trusted files byte-for-byte and kept upstream assertions in companion suites
2026-09-14T19:47:16Z	mobile-theme	SKIP replacement of the shipped Kata mobile skill accent	The retained mobile palette requires the light skill foreground #f0abfc; selectable upstream palettes retain their new contrast assertions	apps/mobile/global.css; apps/mobile/src/lib/mobileTheme.test.ts; apps/mobile/src/lib/mobileTheme.upstream.test.ts	preserved Kata default and verified selectable T3 palette accessibility
2026-09-14T19:47:16Z	desktop-packaging	TAKE exact Linux CLI release archive while SKIPping removal of retained staging contracts	Release builds must embed the byte-identical Linux CLI archive, and Kata's source-tree archive and dependency staging contracts remain checker-owned	scripts/build-desktop-artifact.ts; scripts/build-desktop-artifact.test.ts; scripts/build-desktop-artifact.upstream.test.ts	production selects the exact release archive while explicit source-tree staging remains verified
2026-09-14T19:47:16Z	static-verification	TAKE stricter TypeScript checks and repair merge omissions	The upstream compiler settings exposed non-empty theme, deterministic service-key, process test-double, and credential-safe execution gaps	packages/shared/src/themePalettes.ts; apps/server/src/sourceControl/GitHubCli.ts; apps/server/src/sourceControl/ForgejoCli.ts; apps/server/src/project/WorktreeSetupTracker.ts	all workspace typecheck targets pass
2026-09-14T20:07:18Z	sandbox-runtime	TAKE upstream removal of Bun-only CLI dependencies	The standalone Kata CLI no longer depends on @effect/platform-bun or @effect/sql-sqlite-bun, so the Docker runtime lock must remove those direct and orphan package entries	packages/kata-sandbox-docker/runtime-package-lock.json; packages/kata-sandbox-docker/src/imageBuild.test.ts	focused image-build boundaries pass; exact Docker build awaits remote CI because Sartre cannot access the daemon socket
2026-09-14T20:27:00Z	sandbox-fff-node	TAKE ESM import fallback for registry fff-node	The packed CLI createRequire of @ff-labs/fff-node throws ERR_PACKAGE_PATH_NOT_EXPORTED on the unpatched npm package Docker installs; a static ESM import would fail the SEA scanner	apps/server/src/workspace/loadFffNode.ts	require first, then import() of a constructed specifier; Dockerfile unchanged
