ts	phase	decision	why	evidence	result
2026-09-21T07:15:00Z	intake	TAKE frozen range c14f6015bfe479d313355cb234af1a5c16dbb15f..b379b5b1407b4c718095cd13395173b6cc005218	The target is 40 commits ahead with no reverse commits; KAT-3411 acceptance is Done and KAT-3429 learning waits Start outside this Build	KAT-3432 Linear intake	new run
2026-09-21T07:18:00Z	git	TAKE synthetic previous-pin ancestry anchor	KAT-3411 squash-merged PR #239 so pin c14f6015b is not an ancestor of origin/main; kat-3411-intake.md and FORK.md account for that pin	git merge --strategy=ours --no-ff c14f6015b → 14a398ab16; tree unchanged vs af0d26433; merge-base --all HEAD upstream = previous pin	squash recovery
2026-09-21T07:20:00Z	features	TAKE current upstream product changes	The range adds accepted web, desktop preview recording, device toolchain/update discovery, mobile review diffs, PR UI, undo, and observability per-signal export	git log c14f6015b..b379b5b14 and docs/upstream/kat-3432-intake.md	adapt to Kata
2026-09-21T07:20:00Z	identity	SKIP upstream user-visible and operator T3 identity	FORK.md and docs/product-branding.md require Kata names, packages, commands, environment variables, protocols, assets, and release destinations	remap @t3tools→@kata-sh/code-* on conflicted and auto-merged files; KEEP KATACODE_OTLP_*	adapt taken work
2026-09-21T07:20:00Z	retained	SKIP removal of Kata sandbox, process, credential, Sprite, GitHubCli, and mixed-fleet behavior	The retained inventory requires enableSandboxes default off, ProcessRunner/VcsProcess.runBytes, credential cleanup, spriteConnectCommand, GitHubCli discovery APIs, and mixed-fleet adapters	docs/upstream/retained-behavior.v1.json; post-merge grep	preserve during conflicts and clean-merge review
2026-09-21T07:25:00Z	imports	TAKE upstream symbols remapped to Kata packages	23 conflicts were mostly package-scope import hunks; taking theirs without remap would compile against @t3tools	conflict files plus 16 auto-merged files remapped	adapted
2026-09-21T07:25:00Z	devices	TAKE iOS shutdown already-off recovery and KEEP stream-attach rejection	Upstream serve-sim shutdown must run so capture sessions do not stick; Kata still rejects ok:false stream attach	DeviceService.ts shutdownDevice; DeviceService.test.ts both suites	adapted
2026-09-21T07:25:00Z	copy	TAKE network-access dialog explanation with Kata names	Upstream copy is more precise; rendered product names stay Kata Code / Kata Code Connect	ConnectionsSettings.tsx AlertDialogDescription	adapted
2026-09-21T07:25:00Z	tests	TAKE relocated device-stream tests and SKIP keeping the web copy	Upstream moved AvccDemuxer/native stream tests into client-runtime and added recovery coverage; the web file is gone there	git rm apps/web/src/components/device/deviceStream.test.ts; packages/client-runtime/src/device/stream.test.ts	relocated
2026-09-21T07:25:00Z	observability	TAKE per-signal OTLP export with Kata env names	Upstream split export settings per signal; operator variables remain KATACODE_OTLP_*	cli/config.ts; packages/shared/src/observability.ts	adapted
2026-09-21T07:30:00Z	pins	TAKE FORK.md and both ci.yml pin literals to b379b5b14	Active pin consumers must agree; original root stays 6a687ee43	FORK.md; .github/workflows/ci.yml; kat-3307-runbook.md; check-upstream-preservation.test.ts	adapted
2026-09-21T07:30:00Z	sidebar	SKIP dropping KAT-3423 bare sidebar header	Upstream Sidebar.tsx auto-merged; keep the shipped bare header restoration	apps/web/src/components/sidebar/SidebarThreadHeader.tsx unchanged vs base	preserve
2026-09-21T07:30:00Z	settings	SKIP dropping sandboxes-preview catalog id	Auto-merged settingsSearch.ts still contains the Kata Experimental Docker search id	apps/web/src/components/settings/settingsSearch.ts	preserve
