ts	phase	decision	why	evidence	result
2026-09-24T07:00:41Z	intake	TAKE frozen range f5ef0ddb90a8c36584e181b1913e7b8a5df30ffc..e67abcf798f8c4d8458755e3b4dde02c2c1f628b	The target is 15 commits ahead and the previous pin is its ancestor; KAT-3441 landed as merge ee596604f	KAT-3454 Linear intake; git merge-base --is-ancestor	new run
2026-09-24T07:02:00Z	git	SKIP synthetic previous-pin ancestry anchor	PR #256 landed as a merge commit, so f5ef0ddb9 is already an ancestor of the Kata base	git merge-base --all origin/main e67abcf79 = f5ef0ddb9	no anchor
2026-09-24T07:04:00Z	git	TAKE three-way merge of e67abcf79	Normal merge preserves Kata main and upstream ancestry	git merge --no-ff --no-commit e67abcf79	19 conflicted paths
2026-09-24T07:05:00Z	cleanup	SKIP .github/VOUCHED.td	Kata deleted it; KAT-3411 recorded the same SKIP	DU conflict kept deleted	kept deleted
2026-09-24T07:05:00Z	workflows	TAKE parked mobile-eas-preview.yml and mobile-showcase-screenshots.yml edits	Git applied them by rename to .github/disabled/, where they stay inactive	git status after merge	parked
2026-09-24T07:06:00Z	operator	TAKE OpenTelemetry kill switch as KATACODE_OTEL_SDK_DISABLED	FORK.md env prefix is KATACODE_*; OTEL_SDK_DISABLED is the spec name and stays; private T3CODE_TRUE symbols stay under the identifier policy	otelEnvironment.ts, config.test.ts, DesktopBackendConfiguration.ts, observability.md	adapted
2026-09-24T07:07:00Z	imports	TAKE upstream imports with @kata-sh/code-* scope in 12 conflicts and 15 clean or new files	Scope-only conflicts next to new OtelEnvironment and device imports	grep -rl @t3tools apps packages scripts	0 remaining outside podspecs
2026-09-24T07:08:00Z	mobile	KEEP nativeLoader injection; TAKE appScheme and showcase activity	Kata tests inject the Android native module; fallback scheme stays katacode	androidNotifications.ts	merged
2026-09-24T07:08:00Z	device	TAKE DeviceWorkspace move of stream state	DeviceWorkspace passes props.device.hostId to useDeviceHubAccess, covering Kata's hostId argument	DevicePanel.tsx, DeviceWorkspace.tsx	merged
2026-09-24T07:09:00Z	release	TAKE release test and test_server jobs adapted to Kata	ubuntu-24.04, @kata-sh/code-* filters, no setup-apt-mirrors or Blacksmith sed; publish_cli keeps build_sandbox_image	release.yml; node scripts/check-workflow-references.mjs	adapted
2026-09-24T07:10:00Z	lockfile	TAKE regenerated pnpm-lock.yaml from merged manifests	Adds three 0.180.0 and @types/three for the device workspace	vp install	regenerated
2026-09-24T07:10:00Z	assets	SKIP Apple device models, sources.json, and convert-device-model.py	Upstream sources.json records Apple Inc. authorship and no redistribution license; hosted web and desktop would redistribute them; deviceModels.ts returns no model so the procedural body renders	sources.json; phoneViewer.ts createPhoneScene fallback; KAT-3455	adapted
2026-09-24T07:11:00Z	branding	TAKE Kata copy for new upstream strings	Mobile environment detail screen and showcase Live Activity title use APP_BASE_NAME; SnapShot helper comment says Kata Code	node scripts/check-product-branding.mjs	passed
2026-09-24T07:12:00Z	pins	TAKE FORK.md, both ci.yml literals, runbook, and live-tree currentUpstreamSha to e67abcf79	Active pin consumers must agree; original root stays 6a687ee43; historical baseline keeps its own pin	git grep f5ef0ddb9	advanced
2026-09-24T07:40:00Z	desktop	SKIP blob: in desktop connect-src	Upstream added it only for GLTF textures embedded in the skipped Apple models; without them it has no consumer and it changes the trusted ElectronProtocol.test.ts assertion	PR CI run 35968423338 desktop-protocol-bundle-identity FAIL; ElectronProtocol.ts, ElectronProtocol.test.ts, ElectronProtocol.upstream.test.ts restored to base	base CSP
2026-09-24T07:40:00Z	tests	TAKE trackpad forwarding test in DesktopWindow.upstream.test.ts; KEEP trusted DesktopWindow.test.ts at base	The gate requires trusted assertion files to match the base; the companion suite keeps upstream's coverage without a ci.yml waiver	PR CI run 35968423338 desktop-window-behavior FAIL; test fails when gestureScrollEnd forwarding is removed	moved
2026-09-24T07:50:00Z	review	TAKE independent review fixes	Opus reviewer found the moved trackpad test failed vpr typecheck (TS2367, mock calls typed from the last on overload) and the parked mobile-eas-preview.yml read T3CODE_ANDROID_GOOGLE_SERVICES_FILE while app.config.ts reads KATACODE_; all seven review checks otherwise clean	reviewer report; vpr typecheck exit 0 after fix	fixed
