ts	phase	decision	why	evidence	result
2026-09-26T07:01:00Z	intake	TAKE frozen range b3de243d5ed44783c4e7990d8e63cb519d390a03..a21b42cec478b093cdc50cc2105b5368ea8b3546	The target is 44 commits ahead and the previous pin is its ancestor	KAT-3496 Linear intake; git merge-base --is-ancestor b3de243d5 a21b42cec	new run
2026-09-26T07:02:00Z	reconcile	Record KAT-3471 post-merge acceptance and file its lesson as KAT-3495	PR #273 landed as squash 88562206e; tree equals reviewed head 68ea22a6ff; trusted checker from f73921e6f on 88562206e reports 28/29 PASS and only the allowlisted ProviderInstanceRegistryLive.test.ts FAIL	KAT-3471 comment 5fd5f952; uat-evidence/kat-3471-postmerge-20260926 (ci.txt, human-review.txt)	previous run reconciled
2026-09-26T07:06:00Z	git	TAKE squash-recovery anchor for b3de243d5	PR #273 landed as squash 88562206e, so b3de243d5 is not an ancestor of base 50f52dae6; kat-3471-intake.md accounts for that exact pin	git merge --strategy=ours --no-ff b3de243d5 -> 63c6814f2d; git diff --exit-code 50f52dae6 HEAD; merge-base --all HEAD a21b42cec = b3de243d5	anchored
2026-09-26T07:07:00Z	git	TAKE three-way merge of a21b42cec	Normal merge preserves Kata main and upstream ancestry	git merge --no-ff --no-commit a21b42cec	26 content conflicts, no modify/delete
2026-09-26T07:08:00Z	identity	TAKE upstream product changes with Kata identity	@t3tools imports, T3CODE_ operator variables, T3 Code copy, t3 CLI names, npx t3, and ~/.t3 become Kata forms on added lines only; private symbols (T3CODE_TRUE/FALSE), temp prefixes, and __T3_SETUP_DONE__ stay	scripts/check-product-branding.mjs; scripts/check-connect-wire-identity.ts	branding and wire scans pass
2026-09-26T07:09:00Z	observability	TAKE fixed OTLP service names (#13699) as katacode-{server,desktop,web,mobile,relay} in namespace katacode	Upstream removes the service-name variable and names each app; Kata keeps the model under Kata identity. KATACODE_OTLP_SERVICE_NAME is removed (changed operator interface, recorded in the KAT-3496 spec). Previous names were t3-server (configurable), desktop, kata-web, kata-web-relay-client, kata-mobile-relay-client, t3-headless-relay-client, kata-code-relay-worker	apps/server/src/config.ts; apps/desktop/src/app/DesktopObservability.ts; apps/web/src/observability/clientTracing.ts; apps/web/src/lib/runtime.ts; apps/mobile/src/features/observability/tracing.ts; infra/relay/src/observability.ts; docs/operations/observability.md	serverLogger, DesktopObservability, relay observability, and server OTLP proxy tests assert the Kata names
2026-09-26T07:09:30Z	observability	TAKE standard OTEL_EXPORTER_OTLP_* endpoints, headers, and protocol (#13492, #13641)	Standard variables named by the OpenTelemetry spec; KATACODE_OTLP_*_URL still wins; the desktop forwards them to WSL backends	packages/shared/src/otelEnvironment.ts; apps/desktop/src/backend/DesktopBackendConfiguration.ts	otelEnvironment and DesktopBackendConfiguration tests pass
2026-09-26T07:10:00Z	security	TAKE replay-marker pruning (#13695) with Kata replay prefixes	Kata's consumeCloudProof names markers <prefix>-jti-* and <prefix>-nonce-* for cloud-health, cloud-mint, and Kata-only cloud-linear-oauth; upstream's four literal prefixes do not exist in Kata, so CLOUD_REPLAY_MARKER_PREFIXES derives from the three Kata prefixes and the call sites use the same constants	apps/server/src/cloud/http.ts; apps/server/src/auth/replayMarkers.ts	replayMarkers tests pass
2026-09-26T07:10:30Z	mobile	TAKE Android control sizing (#13356) in CompactBrandTitle with KataMark	Kata's lockup uses KataMark and inline styles; the Android scale multiplies Kata's sizes and uses upstream's Android gap and padding; iOS scale is 1	apps/mobile/src/components/CompactBrandTitle.tsx	mobile typecheck passes
2026-09-26T07:11:00Z	assertions	SKIP upstream edit to trusted apps/server/src/processRunner.test.ts; TAKE its commandName case in processRunner.upstream.test.ts	retained-process-credential-behavior requires the trusted file at base bytes; the base file still loads, so the new case moves to a companion suite (KAT-3454 pattern)	apps/server/src/processRunner.upstream.test.ts	no new ci.yml allowlist line
2026-09-26T07:11:30Z	assertions	TAKE upstream edits to apps/server/src/server.test.ts	The file's trusted-assertion FAIL line is already allowlisted in ci.yml (KAT-3411); edits cover service names and the OTEL forwarding	.github/workflows/ci.yml allowlist	existing allowlist line
2026-09-26T07:12:00Z	conflicts	TAKE both sides in ProviderCommandReactor.ts, server.ts, and cli/config.test.ts	Kata RoutineStore import, SpriteActivityLease layer, and KATACODE_SANDBOXES tests stay beside upstream TerminalManager, HeapSnapshot layer, and OTEL precedence tests	git diff 50f52dae6 HEAD -- those paths	both retained
2026-09-26T07:12:30Z	conflicts	TAKE upstream usage readers for Cursor, OpenCode, and Antigravity (#10409, #13714, #13731, #13599) with Kata imports	Local session readers and pricing; the Cursor keychain prompt names Kata Code	apps/server/src/usage/*; apps/server/src/provider/cursorCredentialStore.ts	usage tests pass
2026-09-26T07:13:00Z	pins	Advance FORK.md, both ci.yml tip literals, kat-3307-runbook.md, and live-tree currentUpstreamSha to a21b42cec	Pin consumers must agree; baselineUpstreamSha stays at its historical pin; the original root stays 6a687ee43	grep b3de243d5 outside historical intake docs is empty	pins agree
