ts	phase	decision	why	evidence	result
2026-09-23T07:00:45Z	intake	TAKE frozen range b379b5b1407b4c718095cd13395173b6cc005218..f5ef0ddb90a8c36584e181b1913e7b8a5df30ffc	The target is 92 commits ahead and the previous pin is its ancestor; KAT-3432 landed and its learning landed through KAT-3437	KAT-3441 Linear intake; git merge-base --is-ancestor	new run
2026-09-23T07:03:00Z	git	TAKE synthetic previous-pin ancestry anchor	KAT-3432 squash-merged PR #247 so pin b379b5b14 is not an ancestor of origin/main; kat-3432-intake.md and FORK.md account for that pin	git merge --strategy=ours --no-ff b379b5b14 → cc99c6e3e7; tree unchanged vs 88f8995cc; merge-base --all HEAD upstream = previous pin	squash recovery
2026-09-23T07:04:00Z	git	TAKE three-way merge of f5ef0ddb9	Normal merge preserves Kata main and upstream ancestry	git merge --no-ff --no-commit f5ef0ddb9	56 conflicted paths
2026-09-23T07:10:00Z	instructions	SKIP upstream AGENTS.md	Kata deleted it and uses AGENTS.override.md; upstream instructions are review material	DU conflict kept deleted	kept deleted
2026-09-23T07:10:00Z	deletions	TAKE upstream deletion of nine Kata-modified files	Kata changed only package scope or fixture copy in them; upstream retired the legacy mobile list, threadEnvMode, showUndoToast, PullRequestCommentComposer, UsagePage.test	git diff b379b5b14 88f8995cc per file	deleted
2026-09-23T07:15:00Z	features	TAKE upstream product changes with @kata-sh/code-* scope	Accepted functionality in this range; 15 clean or new files remapped from @t3tools	grep -rl @t3tools after merge	0 remaining
2026-09-23T07:15:00Z	mobile	TAKE upstream list dependency trim; KEEP shelfPreferencesLoaded	Kata persisted shelf expansion (#151) must bust list extraData; upstream scoped the snooze minute tick	HomeScreen.tsx, ThreadNavigationSidebar.tsx	merged
2026-09-23T07:15:00Z	sidebar	SKIP stage backdrop, wordmark, and media-navigation trigger	KAT-3423 bare sidebar header is retained; plain div gains flex gap-2 that SidebarHeader supplied; Badge takes upstream styling	SidebarChrome.tsx, AppSidebarLayout.tsx	bare header
2026-09-23T07:15:00Z	settings	SKIP upstream inline add-environment dialog body	Kata AddEnvironmentDialog owns sandboxes, SSH targets, and pairing	ConnectionsSettings.tsx	Kata dialog
2026-09-23T07:15:00Z	server	KEEP withoutGitRepositoryEnv, routines RPC imports, streamAttachError fixture, katacode/pr- branch	Kata credential/env boundary, routines, iOS stream-attach coverage, Kata PR branch prefix	GitVcsDriverCore.ts, ws.ts, DeviceService.test.ts, GitManager.test.ts	merged with upstream additions
2026-09-23T07:15:00Z	lint	TAKE @shadcn/lint with oxlint-plugin-kata-code	Upstream enforces components/ui ownership; Kata plugin path stays	vite.config.ts	merged
2026-09-23T07:20:00Z	lockfile	TAKE regenerated pnpm-lock.yaml from merged manifests	Do not keep either conflicted side; vite-plus 0.3.3, @shadcn/lint, nitro tarball override removed	vp install; vp install --frozen-lockfile	regenerated
2026-09-23T07:25:00Z	adapt	TAKE ComboboxSearchInput and variant sizes in Kata-only screens	Upstream removed ComboboxInput inputClassName (#13193) and no-restyle fails on Kata sandbox and routines screens; adapt rather than exempt	vpr typecheck TS2322; vp check 21 errors → 0	adapted
2026-09-23T07:30:00Z	branding	TAKE Kata copy for new upstream strings	Branding scan flagged providerCompatibility, providerMaintenanceRunner, t3ProjectFile; manual scan found install.md, Connect onboarding, empty states	node scripts/check-product-branding.mjs	passed
2026-09-23T07:30:00Z	pins	TAKE FORK.md, both ci.yml literals, runbook, and live-tree currentUpstreamSha to f5ef0ddb9	Active pin consumers must agree; original root stays 6a687ee43; historical baseline keeps its own pin	grep for b379b5b14	advanced
2026-09-23T07:30:00Z	mobile	TAKE app.config.ts version 1.3.1	KAT-3411 took the prior upstream version bump; Kata slug, package, and asset paths unchanged	git diff base -- apps/mobile/app.config.ts	retained identity
