ts	phase	decision	why	evidence	result
2026-09-25T07:01:00Z	intake	TAKE frozen range e67abcf798f8c4d8458755e3b4dde02c2c1f628b..b3de243d5ed44783c4e7990d8e63cb519d390a03	The target is 52 commits ahead and the previous pin is its ancestor	KAT-3471 Linear intake; git merge-base --is-ancestor e67abcf79 b3de243d5	new run
2026-09-25T07:04:00Z	git	TAKE squash-recovery anchor for e67abcf79	PR #269 landed as squash 96e7d288e, so e67abcf79 is not an ancestor of base f73921e6f; kat-3454-intake.md accounts for that exact pin	git merge --strategy=ours --no-ff e67abcf79 -> 9be8826c35; git diff --exit-code f73921e6f HEAD; merge-base --all HEAD b3de243d5 = e67abcf79	anchored
2026-09-25T07:05:00Z	git	TAKE three-way merge of b3de243d5	Normal merge preserves Kata main and upstream ancestry	git merge --no-ff --no-commit b3de243d5	57 conflicted paths (4 modify/delete)
2026-09-25T07:06:00Z	cleanup	SKIP .macroscope/check-run-agents edits and infra/relay/src/clientConfig.test.ts	Kata deleted .macroscope (KAT-3297) and clientConfig (KAT-3411 SKIP); upstream edits are cosmetic	modify/delete conflicts	deletions retained
2026-09-25T07:07:00Z	assets	SKIP iphone-duo.glb and device models sources.json	sources.json: author Apple Inc., no redistribution license; KAT-3454 SKIP and KAT-3455	git show b3de243d5:apps/web/src/components/device/models/sources.json	deviceModels.ts stays null; Duo 3D controls inactive until KAT-3455
2026-09-25T07:08:00Z	device	TAKE Android foldable controls and procedural fold scene	androidFoldScene is procedural and needs no bundled model	packages/client-runtime/src/device/androidFoldScene.ts	taken
2026-09-25T07:09:00Z	web	TAKE theme-token class changes with Kata copy	Style-only upstream edits (#13371, #13397) around Kata strings	T3ConnectUserProfilePage.tsx, ResourceTelemetryDiagnostics.tsx	adapted
2026-09-25T07:09:30Z	web	SKIP upstream WelcomeWizard wordmark and SettingsPanels section styling	Kata identity header and Kata folded-section styling	WelcomeWizard.tsx, SettingsPanels.tsx	Kata retained
2026-09-25T07:10:00Z	settings	SKIP upstream inline add-environment render helpers	Kata AddEnvironmentDialog owns sandboxes, SSH, pairing (KAT-3297 #42, KAT-3441)	ConnectionsSettings.tsx	Kata dialog
2026-09-25T07:11:00Z	web	SKIP sidebar stage backdrop and brand; TAKE sidebar Back to main app (#13516) with /routines as a utility page	KAT-3423 restored the bare Kata header; Kata adds a Routines page	SidebarChrome.tsx, AppSidebarLayout.tsx, mainAppLocation.ts	adapted
2026-09-25T07:12:00Z	desktop	TAKE V8 compile cache (#13501) for the production scheme only; cache dir katacode	Kata registers three schemes; a shared t3code cache dir would mix Kata and T3 installs	ElectronProtocol.ts, compileCache.ts, build-desktop-artifact.ts main=boot.cjs	adapted
2026-09-25T07:13:00Z	release	SKIP Linux .deb build target, deb config, release globs, Blacksmith arm64 runner, and .deb docs; TAKE DesktopUpdates deb package-type support	A new release artifact and Debian package identity is a release-package-ownership decision	c13f7d93ff; KAT-3473 Backlog	release.yml and release-desktop.yml at base
2026-09-25T07:14:00Z	trusted	Restore DesktopAppIdentity.test.ts, DesktopWindow.test.ts, DesktopBackendManager.test.ts, build-desktop-artifact.test.ts, DesktopUpdates.test.ts to base	Preservation gate requires byte identity; upstream edits are cosmetic (#13536), .deb-only, or new cases	checks.ts trustedPaths	new DesktopUpdates cases in DesktopUpdates.upstream.test.ts
2026-09-25T07:15:00Z	trusted	TAKE upstream ProviderInstanceRegistryLive.test.ts changes	Upstream renamed codexResetCredit.ts to resetCreditCoordinator.ts; the base file imports the deleted module, so byte identity and a passing command are exclusive (KAT-3411 class)	sandbox-route-driver-registration trustedPaths	needs CI waiver decision
2026-09-25T07:16:00Z	server	TAKE Codex additionalContext restructure (#13547) with Kata names	Kata's only change was branding; added assertions that runtime info says Kata Code and the browser block is the Kata Code collaborative browser	CodexDeveloperInstructions.ts, CodexSessionRuntime.test.ts	adapted
2026-09-25T07:17:00Z	migrations	TAKE upstream migration 54 ProjectionThreadsAutoSettleDisabledAt as Kata 58	Kata IDs 1-57 are shipped; next unused ID is 58	Migrations.ts, 058_*.ts, KataUpstreamUpgrade.test.ts	renumbered
2026-09-25T07:18:00Z	server	TAKE resetCreditCoordinator service key t3/provider/Layers/resetCreditCoordinator	Private service identifier; FORK.md identifier policy retains internal T3 identifiers	resetCreditCoordinator.ts	retained
2026-09-25T07:19:00Z	dev	TAKE scripts/setup-worktree.ts without env-file linking	Kata keeps secrets in the 1Password Environment, not dotenv files (docs/operations/development.md)	t3.json, setup-worktree.ts, knip.jsonc	adapted
2026-09-25T07:20:00Z	docs	SKIP upstream dotenv dev-token guidance, README/install package-manager lists; TAKE tunnel cleanup rollout docs with Kata names	Kata dev credential policy; Kata publishes no package-manager packages	development.md, install.md, README.md, release.md, remote-access.md, usage.md	adapted
2026-09-25T07:21:00Z	branding	TAKE Kata copy for new preview automation host error, Android widget strings, subscription widget refresh detail	New user-visible upstream copy said T3 Code / T3	previewAutomation.ts, strings.xml, subscriptionUsageSnapshot.ts	rebranded
2026-09-25T07:25:00Z	relay	TAKE managed tunnel recovery and cleanup with Kata wire identity	New typ kata-env-managed-tunnel-recovery+jwt; Linear OAuth broker, getStatus, CLOUD_MANAGED_ENDPOINT_URL retained; wireEnvironmentIssuer for new iss literals	wireIdentity.ts, relayJwt.ts, cloud/http.ts, infra/relay/*; check-connect-wire-identity 25 files pass	adapted
2026-09-25T07:26:00Z	relay	TAKE upstream keep-config-on-failed-connector-start	Startup retry needs the stored config; managedCallbackReady follows the running connector and stored URL, the rule RoutineConnections uses	server.test.ts callback sequence; KAT-3471 spec updated	changed Kata behavior, accepted
2026-09-25T07:27:00Z	workflow	TAKE RELAY_TUNNEL_CLEANUP_MODE in deploy-relay.yml; SKIP push trigger, Blacksmith runner, main guard, force input	Kata deploys revise the Worker every run and deploy.test.ts forbids --force; the guard would block branch dry runs	deploy-relay.yml; check-workflow-references 4 workflows pass	adapted
2026-09-25T07:28:00Z	relay	TAKE relay migration 20260919015455_managed_endpoint_recovery	Timestamp names do not collide; snapshot chain has two heads as before	KAT-3474 Backlog	taken
2026-09-25T07:29:00Z	lint	Replace Kata arbitrary classes with same-value scale tokens	Upstream enables shadcn(no-arbitrary-values)	vp check 0 errors	fixed
2026-09-25T07:30:00Z	types	Re-add client-runtime ./state/entities export; annotate web projectEnvironment	Upstream web threads.ts imports it; TS2883 non-portable inferred type	vpr typecheck 0 errors	fixed
2026-09-25T08:05:00Z	review	Fix four independent-review findings on 9df578c7c5	Relay runbook force/push steps, callback readiness via runtime status, devices.md Duo copy, Linux updater message	Opus full-delta review; vp test apps/server/src/cloud server.test.ts RoutineConnections 447 pass	fixed
